 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17O_mylar.txt.txt

 Ion = Oxygen [8] , Mass = 17 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 300.00 MeV   2.471E+02  1.145E-01  706.22 um    28.13 um     4.56 um  
 325.00 MeV   2.320E+02  1.065E-01  810.60 um    31.80 um     5.18 um  
 350.00 MeV   2.187E+02  9.962E-02  921.56 um    35.48 um     5.83 um  
 375.00 MeV   2.068E+02  9.360E-02    1.04 mm    39.21 um     6.53 um  
 400.00 MeV   1.961E+02  8.829E-02    1.16 mm    42.99 um     7.26 um  
 450.00 MeV   1.772E+02  7.936E-02    1.43 mm    57.39 um     8.83 um  
 500.00 MeV   1.608E+02  7.213E-02    1.73 mm    71.11 um    10.56 um  
 550.00 MeV   1.484E+02  6.616E-02    2.05 mm    84.64 um    12.44 um  
 600.00 MeV   1.383E+02  6.113E-02    2.40 mm    98.05 um    14.47 um  
 650.00 MeV   1.296E+02  5.684E-02    2.77 mm   111.45 um    16.63 um  
 700.00 MeV   1.221E+02  5.314E-02    3.17 mm   124.90 um    18.93 um  
 800.00 MeV   1.096E+02  4.706E-02    4.04 mm   174.96 um    23.92 um  
 900.00 MeV   9.976E+01  4.227E-02    4.99 mm   221.31 um    29.42 um  
   1.00 GeV   9.175E+01  3.839E-02    6.04 mm   266.32 um    35.40 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  7.1584E-03                keV / (ug/cm2) 
  7.1584E-03                MeV / (mg/cm2) 
  7.1584E+00                keV / (mg/cm2) 
  1.0383E-01                 eV / (1E15 atoms/cm2)
  1.3266E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
