 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17F_CF4_60mbar.txt

 Ion = Fluorine [9] , Mass = 17 amu

 Target Density =  2.2000E-04 g/cm3 = 7.5272E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  17.00 MeV   1.988E-01  2.266E-04   96.62 mm     3.36 mm     3.71 mm  
  18.00 MeV   1.962E-01  2.157E-04  101.68 mm     3.45 mm     3.74 mm  
  20.00 MeV   1.913E-01  1.970E-04  111.99 mm     3.76 mm     3.82 mm  
  22.50 MeV   1.856E-01  1.780E-04  125.24 mm     4.22 mm     3.92 mm  
  25.00 MeV   1.802E-01  1.625E-04  138.89 mm     4.66 mm     4.02 mm  
  27.50 MeV   1.751E-01  1.497E-04  152.95 mm     5.09 mm     4.12 mm  
  30.00 MeV   1.703E-01  1.388E-04  167.41 mm     5.50 mm     4.22 mm  
  32.50 MeV   1.657E-01  1.294E-04  182.28 mm     5.91 mm     4.32 mm  
  35.00 MeV   1.618E-01  1.214E-04  197.53 mm     6.30 mm     4.43 mm  
  37.50 MeV   1.582E-01  1.143E-04  213.14 mm     6.70 mm     4.54 mm  
  40.00 MeV   1.538E-01  1.080E-04  229.15 mm     7.09 mm     4.65 mm  
  45.00 MeV   1.464E-01  9.745E-05  262.45 mm     8.54 mm     4.88 mm  
  50.00 MeV   1.398E-01  8.886E-05  297.38 mm     9.89 mm     5.12 mm  
  55.00 MeV   1.336E-01  8.173E-05  333.95 mm    11.19 mm     5.37 mm  
  60.00 MeV   1.279E-01  7.571E-05  372.17 mm    12.46 mm     5.64 mm  
