 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\20Na_mylar.txt

 Ion = Sodium [11] , Mass = 20 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  40.00 MeV   1.662E+03  1.446E+00   22.37 um     6578 A      4340 A   
  45.00 MeV   1.601E+03  1.305E+00   25.43 um     7897 A      4500 A   
  50.00 MeV   1.527E+03  1.190E+00   28.63 um     9118 A      4666 A   
  55.00 MeV   1.459E+03  1.095E+00   31.98 um     1.03 um     4841 A   
  60.00 MeV   1.399E+03  1.015E+00   35.47 um     1.14 um     5024 A   
  65.00 MeV   1.344E+03  9.458E-01   39.12 um     1.26 um     5216 A   
  70.00 MeV   1.294E+03  8.862E-01   42.91 um     1.37 um     5417 A   
  80.00 MeV   1.206E+03  7.880E-01   50.91 um     1.78 um     5846 A   
  90.00 MeV   1.131E+03  7.103E-01   59.48 um     2.15 um     6310 A   
 100.00 MeV   1.065E+03  6.472E-01   68.59 um     2.51 um     6808 A   
 110.00 MeV   1.008E+03  5.948E-01   78.23 um     2.86 um     7341 A   
 120.00 MeV   9.567E+02  5.507E-01   88.41 um     3.21 um     7906 A   
 130.00 MeV   9.111E+02  5.130E-01   99.12 um     3.55 um     8502 A   
 140.00 MeV   8.699E+02  4.803E-01  110.35 um     3.89 um     9130 A   
 150.00 MeV   8.325E+02  4.517E-01  122.10 um     4.24 um     9788 A   
 160.00 MeV   7.984E+02  4.265E-01  134.36 um     4.58 um     1.05 um  
 170.00 MeV   7.672E+02  4.041E-01  147.13 um     4.93 um     1.12 um  
 180.00 MeV   7.385E+02  3.840E-01  160.41 um     5.28 um     1.19 um  
 200.00 MeV   6.874E+02  3.496E-01  188.48 um     6.61 um     1.35 um  
 225.00 MeV   6.331E+02  3.147E-01  226.37 um     8.52 um     1.56 um  
 250.00 MeV   5.873E+02  2.863E-01  267.36 um    10.32 um     1.79 um  
 275.00 MeV   5.480E+02  2.629E-01  311.43 um    12.06 um     2.04 um  
 300.00 MeV   5.140E+02  2.432E-01  358.52 um    13.79 um     2.30 um  
 325.00 MeV   4.843E+02  2.263E-01  408.62 um    15.51 um     2.57 um  
 350.00 MeV   4.581E+02  2.117E-01  461.69 um    17.24 um     2.87 um  
 375.00 MeV   4.349E+02  1.990E-01  517.69 um    18.99 um     3.17 um  
 400.00 MeV   4.141E+02  1.878E-01  576.59 um    20.75 um     3.49 um  
 450.00 MeV   3.786E+02  1.689E-01  702.87 um    27.40 um     4.18 um  
 500.00 MeV   3.494E+02  1.535E-01  840.33 um    33.62 um     4.92 um  
 550.00 MeV   3.250E+02  1.409E-01  988.71 um    39.66 um     5.72 um  
 600.00 MeV   3.042E+02  1.302E-01    1.15 mm    45.62 um     6.57 um  
 650.00 MeV   2.851E+02  1.211E-01    1.32 mm    51.59 um     7.47 um  
 700.00 MeV   2.686E+02  1.133E-01    1.50 mm    57.60 um     8.42 um  
 800.00 MeV   2.412E+02  1.004E-01    1.89 mm    80.11 um    10.49 um  
 900.00 MeV   2.194E+02  9.019E-02    2.33 mm   101.05 um    12.76 um  
   1.00 GeV   2.017E+02  8.196E-02    2.80 mm   121.44 um    15.23 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  7.1584E-03                keV / (ug/cm2) 
  7.1584E-03                MeV / (mg/cm2) 
  7.1584E+00                keV / (mg/cm2) 
  1.0383E-01                 eV / (1E15 atoms/cm2)
  9.7779E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
