 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Magnesium in  C- F (gas).txt

 Ion = Magnesium [12] , Mass = 20 amu

 Target Density =  2.5000E-04 g/cm3 = 8.5537E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  45.00 MeV   2.766E-01  2.199E-04  158.84 mm     5.22 mm     4.29 mm  
  50.00 MeV   2.640E-01  2.007E-04  177.33 mm     5.85 mm     4.40 mm  
  55.00 MeV   2.534E-01  1.847E-04  196.65 mm     6.48 mm     4.50 mm  
  60.00 MeV   2.436E-01  1.712E-04  216.75 mm     7.09 mm     4.62 mm  
  65.00 MeV   2.344E-01  1.596E-04  237.66 mm     7.70 mm     4.73 mm  
  70.00 MeV   2.259E-01  1.496E-04  259.38 mm     8.31 mm     4.86 mm  
  80.00 MeV   2.106E-01  1.331E-04  305.21 mm    10.57 mm     5.12 mm  
  90.00 MeV   1.973E-01  1.200E-04  354.26 mm    12.67 mm     5.41 mm  
 100.00 MeV   1.857E-01  1.093E-04  406.48 mm    14.69 mm     5.72 mm  
 110.00 MeV   1.756E-01  1.005E-04  461.84 mm    16.68 mm     6.05 mm  
 120.00 MeV   1.667E-01  9.310E-05  520.28 mm    18.64 mm     6.41 mm  
 130.00 MeV   1.588E-01  8.674E-05  581.73 mm    20.60 mm     6.79 mm  
 140.00 MeV   1.517E-01  8.123E-05  646.14 mm    22.56 mm     7.20 mm  
 150.00 MeV   1.454E-01  7.641E-05  713.46 mm    24.52 mm     7.63 mm  
 160.00 MeV   1.396E-01  7.216E-05  783.63 mm    26.48 mm     8.08 mm  
 170.00 MeV   1.344E-01  6.838E-05  856.61 mm    28.46 mm     8.55 mm  
 180.00 MeV   1.296E-01  6.499E-05  932.35 mm    30.44 mm     9.04 mm  
 200.00 MeV   1.211E-01  5.917E-05    1.09 m     37.97 mm    10.09 mm  
 225.00 MeV   1.120E-01  5.328E-05    1.31 m     48.69 mm    11.50 mm  
 250.00 MeV   1.043E-01  4.850E-05    1.54 m     58.73 mm    13.03 mm  
 275.00 MeV   9.756E-02  4.454E-05    1.79 m     68.48 mm    14.67 mm  
 300.00 MeV   9.159E-02  4.120E-05    2.05 m     78.12 mm    16.42 mm  
 325.00 MeV   8.627E-02  3.835E-05    2.33 m     87.75 mm    18.27 mm  
 350.00 MeV   8.149E-02  3.589E-05    2.63 m     97.45 mm    20.23 mm  
 375.00 MeV   7.719E-02  3.373E-05    2.94 m    107.27 mm    22.30 mm  
 400.00 MeV   7.331E-02  3.183E-05    3.28 m    117.22 mm    24.47 mm  
 450.00 MeV   6.671E-02  2.863E-05    3.99 m    155.03 mm    29.14 mm  
 500.00 MeV   6.149E-02  2.604E-05    4.77 m    190.55 mm    34.21 mm  
 550.00 MeV   5.751E-02  2.390E-05    5.61 m    224.83 mm    39.67 mm  
 600.00 MeV   5.467E-02  2.210E-05    6.50 m    258.02 mm    45.43 mm  
 650.00 MeV   5.130E-02  2.056E-05    7.45 m    290.77 mm    51.51 mm  
 700.00 MeV   4.836E-02  1.922E-05    8.45 m    323.84 mm    57.92 mm  
 800.00 MeV   4.348E-02  1.704E-05   10.63 m    447.78 mm    71.78 mm  
 900.00 MeV   3.960E-02  1.531E-05   13.04 m    563.30 mm    86.97 mm  
   1.00 GeV   3.643E-02  1.392E-05   15.68 m    675.84 mm   103.45 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  4.0001E+01                keV / (ug/cm2) 
  4.0001E+01                MeV / (mg/cm2) 
  4.0001E+04                keV / (mg/cm2) 
  1.1691E+03                 eV / (1E15 atoms/cm2)
  7.8895E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
