 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17O_CF4_70mbar.txt

 Ion = Oxygen [8] , Mass = 17 amu

 Target Density =  2.5000E-04 g/cm3 = 8.5537E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  14.00 MeV   2.034E-01  2.448E-04   83.02 mm     3.03 mm     3.45 mm  
  15.00 MeV   2.006E-01  2.307E-04   87.96 mm     3.12 mm     3.49 mm  
  16.00 MeV   1.979E-01  2.183E-04   92.97 mm     3.21 mm     3.53 mm  
  17.00 MeV   1.952E-01  2.072E-04   98.05 mm     3.30 mm     3.57 mm  
  18.00 MeV   1.925E-01  1.973E-04  103.20 mm     3.39 mm     3.61 mm  
  20.00 MeV   1.873E-01  1.801E-04  113.72 mm     3.72 mm     3.69 mm  
  22.50 MeV   1.809E-01  1.627E-04  127.29 mm     4.20 mm     3.78 mm  
  25.00 MeV   1.749E-01  1.485E-04  141.32 mm     4.66 mm     3.88 mm  
  27.50 MeV   1.692E-01  1.367E-04  155.84 mm     5.11 mm     3.98 mm  
  30.00 MeV   1.637E-01  1.268E-04  170.85 mm     5.55 mm     4.09 mm  
  32.50 MeV   1.585E-01  1.182E-04  186.36 mm     5.99 mm     4.19 mm  
  35.00 MeV   1.540E-01  1.108E-04  202.35 mm     6.42 mm     4.30 mm  
  37.50 MeV   1.498E-01  1.043E-04  218.80 mm     6.84 mm     4.41 mm  
  40.00 MeV   1.450E-01  9.860E-05  235.76 mm     7.27 mm     4.53 mm  
  45.00 MeV   1.367E-01  8.893E-05  271.26 mm     8.86 mm     4.77 mm  
  50.00 MeV   1.295E-01  8.107E-05  308.82 mm    10.36 mm     5.03 mm  
  55.00 MeV   1.229E-01  7.455E-05  348.44 mm    11.81 mm     5.31 mm  
  60.00 MeV   1.169E-01  6.905E-05  390.13 mm    13.23 mm     5.60 mm  
  65.00 MeV   1.114E-01  6.435E-05  433.92 mm    14.64 mm     5.90 mm  
  70.00 MeV   1.064E-01  6.027E-05  479.81 mm    16.04 mm     6.23 mm  
  80.00 MeV   9.770E-02  5.355E-05  577.85 mm    21.26 mm     6.93 mm  
  90.00 MeV   9.034E-02  4.825E-05  684.27 mm    26.10 mm     7.69 mm  
 100.00 MeV   8.409E-02  4.394E-05  798.97 mm    30.79 mm     8.53 mm  
 110.00 MeV   7.872E-02  4.037E-05  921.85 mm    35.41 mm     9.42 mm  
 120.00 MeV   7.408E-02  3.736E-05    1.05 m     40.02 mm    10.38 mm  
 130.00 MeV   7.002E-02  3.479E-05    1.19 m     44.64 mm    11.40 mm  
 140.00 MeV   6.643E-02  3.256E-05    1.34 m     49.29 mm    12.48 mm  
 150.00 MeV   6.325E-02  3.062E-05    1.49 m     53.97 mm    13.61 mm  
 160.00 MeV   6.040E-02  2.890E-05    1.65 m     58.69 mm    14.80 mm  
 170.00 MeV   5.782E-02  2.737E-05    1.82 m     63.46 mm    16.04 mm  
 180.00 MeV   5.549E-02  2.601E-05    2.00 m     68.27 mm    17.33 mm  
 200.00 MeV   5.138E-02  2.367E-05    2.37 m     86.57 mm    20.08 mm  
 225.00 MeV   4.708E-02  2.129E-05    2.88 m    112.71 mm    23.79 mm  
 250.00 MeV   4.346E-02  1.937E-05    3.44 m    137.36 mm    27.80 mm  
 275.00 MeV   4.035E-02  1.778E-05    4.03 m    161.43 mm    32.12 mm  
 300.00 MeV   3.765E-02  1.644E-05    4.67 m    185.38 mm    36.73 mm  
 325.00 MeV   3.528E-02  1.529E-05    5.36 m    209.46 mm    41.64 mm  
 350.00 MeV   3.318E-02  1.431E-05    6.09 m    233.81 mm    46.86 mm  
 375.00 MeV   3.133E-02  1.344E-05    6.87 m    258.51 mm    52.37 mm  
 400.00 MeV   2.969E-02  1.268E-05    7.68 m    283.59 mm    58.18 mm  
 450.00 MeV   2.700E-02  1.140E-05    9.45 m    378.47 mm    70.69 mm  
 500.00 MeV   2.497E-02  1.036E-05   11.38 m    466.85 mm    84.27 mm  
 550.00 MeV   2.319E-02  9.505E-06   13.45 m    552.24 mm    98.86 mm  
 600.00 MeV   2.162E-02  8.784E-06   15.69 m    636.80 mm   114.47 mm  
 650.00 MeV   2.028E-02  8.168E-06   18.07 m    721.48 mm   131.09 mm  
