============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(76.5 MeV) ==> Mylar_IC+CF4_IC+Mylar_CF( 45.6 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  159  8 .6106164E+08   4561630E+02  .2881E+06  .1916E+05   .9999933  .0036407 -.0004049
T  160  8 .6068562E+08   4561631E+02 -.1199E+07  .1271E+07   .9999786 -.0063760  .0014448
T  161  8 .6093160E+08   4561630E+02  .3498E+07 -.8727E+06   .9999704  .0066836 -.0038119
T  162  8 .6079097E+08   4561630E+02 -.5721E+05  .1721E+06   .9999940  .0009288  .0033487
T  163  8 .6079679E+08   4561630E+02 -.1863E+06 -.6910E+06   .9999964 -.0024615 -.0010740
T  164  8 .6092269E+08   4561630E+02 -.1517E+07 -.1325E+07   .9999896 -.0039508 -.0022765
T  165  8 .6102833E+08   4561630E+02  .2682E+07  .9221E+06   .9999502  .0089111  .0044826
T  166  8 .6056789E+08   4561630E+02  .7119E+07  .3738E+06   .9972008  .0742476 -.0088199
T  167  8 .6054611E+08   4561631E+02 -.6098E+06  .3485E+07   .9999737 -.0015075  .0070911
T  168  8 .6079360E+08   4561631E+02 -.9196E+06 -.3489E+07   .9999661 -.0042882 -.0070255
T  169  8 .6093584E+08   4561631E+02  .1891E+06  .1909E+07   .9999938  .0011192  .0033395
T  170  8 .6071240E+08   4561630E+02 -.1502E+07 -.7831E+06   .9999860 -.0050679 -.0015325
T  171  8 .6097213E+08   4561630E+02  .2049E+07  .2301E+06   .9999671  .0075675  .0029166
T  172  8 .6085843E+08   4561630E+02 -.8619E+06  .1146E+07   .9999820 -.0036040  .0047954
T  173  8 .6094724E+08   4561631E+02  .3235E+07 -.5135E+06   .9999505  .0088972 -.0044499
T  174  8 .6084339E+08   4561631E+02 -.3955E+06 -.7643E+06   .9999993 -.0008123  .0008082
