 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 30, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17F_H2-iC4H10_95-5_700mbar.txt

 Ion = Fluorine [9] , Mass = 18.998 amu

 Target Density =  1.4000E-04 g/cm3 = 4.5470E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = 35.51%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 300.00 MeV   5.593E-02  3.505E-05    2.94 m    119.40 mm    10.68 mm  
 325.00 MeV   5.168E-02  3.261E-05    3.41 m    136.35 mm    12.28 mm  
 350.00 MeV   4.803E-02  3.051E-05    3.91 m    153.74 mm    14.01 mm  
 375.00 MeV   4.492E-02  2.867E-05    4.45 m    171.59 mm    15.87 mm  
 400.00 MeV   4.225E-02  2.704E-05    5.02 m    189.84 mm    17.86 mm  
 450.00 MeV   3.807E-02  2.431E-05    6.27 m    259.20 mm    22.19 mm  
 500.00 MeV   3.510E-02  2.210E-05    7.64 m    323.52 mm    26.96 mm  
 550.00 MeV   3.306E-02  2.028E-05    9.10 m    384.47 mm    32.09 mm  
 600.00 MeV   3.111E-02  1.874E-05   10.66 m    443.29 mm    37.52 mm  
 650.00 MeV   2.911E-02  1.743E-05   12.32 m    501.81 mm    43.29 mm  
 700.00 MeV   2.738E-02  1.629E-05   14.09 m    560.95 mm    49.41 mm  
 800.00 MeV   2.452E-02  1.443E-05   17.95 m    783.03 mm    62.68 mm  
 900.00 MeV   2.226E-02  1.297E-05   22.23 m    990.01 mm    77.30 mm  
   1.00 GeV   2.043E-02  1.178E-05   26.92 m      1.19 m     93.24 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  7.1431E+01                keV / (ug/cm2) 
  7.1431E+01                MeV / (mg/cm2) 
  7.1431E+04                keV / (mg/cm2) 
  2.1992E+02                 eV / (1E15 atoms/cm2)
  5.4026E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
