 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 19, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17F_H2-iC4H10_95-5_760mbar.txt

 Ion = Fluorine [9] , Mass = 17 amu

 Target Density =  1.5030E-04 g/cm3 = 4.8816E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.25 GeV   1.071E-02  5.436E-06  118.22 m      4.88 m    414.52 mm  
   2.50 GeV   9.925E-03  4.935E-06  142.47 m      5.96 m    496.71 mm  
   2.75 GeV   9.280E-03  4.521E-06  168.52 m      7.01 m    584.29 mm  
   3.00 GeV   8.740E-03  4.173E-06  196.28 m      8.04 m    676.89 mm  
   3.25 GeV   8.280E-03  3.877E-06  225.66 m      9.05 m    774.16 mm  
   3.50 GeV   7.884E-03  3.621E-06  256.60 m     10.05 m    875.80 mm  
   3.75 GeV   7.541E-03  3.399E-06  289.02 m     11.05 m    981.52 mm  
   4.00 GeV   7.239E-03  3.202E-06  322.85 m     12.04 m      1.09 m   
   4.50 GeV   6.735E-03  2.873E-06  394.45 m     15.74 m      1.32 m   
   5.00 GeV   6.331E-03  2.607E-06  471.02 m     19.11 m      1.56 m   
   5.50 GeV   6.001E-03  2.387E-06  552.13 m     22.29 m      1.82 m   
   6.00 GeV   5.726E-03  2.203E-06  637.42 m     25.35 m      2.08 m   
   6.50 GeV   5.494E-03  2.046E-06  726.55 m     28.31 m      2.35 m   
   7.00 GeV   5.296E-03  1.910E-06  819.23 m     31.20 m      2.63 m   
   8.00 GeV   4.977E-03  1.688E-06    1.01 km    41.63 m      3.20 m   
   9.00 GeV   4.732E-03  1.514E-06    1.22 km    50.82 m      3.79 m   
  10.00 GeV   4.539E-03  1.373E-06    1.44 km    59.29 m      4.40 m   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  6.6536E+01                keV / (ug/cm2) 
  6.6536E+01                MeV / (mg/cm2) 
  6.6536E+04                keV / (mg/cm2) 
  2.0485E+02                 eV / (1E15 atoms/cm2)
  5.0850E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
