============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  F(76.5 MeV) ==> Mylar_IC+Carbon Tetraflu( 36.0 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   86  9 .6157529E+08   3601150E+02 -.3977E+06 -.1732E+07   .9999846 -.0001544 -.0055479
T   87  9 .6123637E+08   3601150E+02  .6261E+06 -.2341E+05   .9999996 -.0007651  .0003705
T   88  9 .6144036E+08   3601150E+02  .5786E+06  .7400E+06   .9999943  .0027390  .0019788
T   89  9 .6141979E+08   3601150E+02 -.1672E+07 -.8058E+06   .9999774 -.0063763 -.0021180
T   90  9 .6112307E+08   3601150E+02 -.1496E+07  .1273E+07   .9999697 -.0067959  .0038056
T   91  9 .6121055E+08   3601150E+02 -.1659E+07 -.1167E+07   .9999853 -.0043733 -.0032194
T   92  9 .6145369E+08   3601150E+02  .3328E+06  .1028E+07   .9999962  .0007731  .0026489
T   93  9 .6128001E+08   3601150E+02  .1551E+07  .1665E+07   .9999905 -.0010382  .0042287
T   94  9 .6147555E+08   3601150E+02 -.1524E+07 -.6156E+05   .9999891 -.0046657 -.0000987
T   95  9 .6127591E+08   3601150E+02 -.8105E+06  .1373E+07   .9999902 -.0003965  .0044089
T   96  9 .6157545E+08   3601150E+02  .4875E+06 -.6571E+06   .9999920  .0033562 -.0021925
T   97  9 .6109140E+08   3601150E+02  .5977E+06  .5304E+06   .9999984  .0002232  .0017496
T   98  9 .6150775E+08   3601150E+02  .1634E+07 -.4569E+06   .9999868  .0050372 -.0009734
T   99  9 .6103820E+08   3601150E+02  .7572E+06  .4300E+07   .9999604  .0024798  .0085428
T  100  9 .6128861E+08   3601150E+02  .1893E+06  .3444E+07   .9999389  .0013288  .0109736
T  101  9 .6122498E+08   3601150E+02  .6243E+05  .6211E+06   .9999997  .0006167  .0003768
T  102  9 .6125492E+08   3601150E+02 -.4538E+06 -.2369E+05   .9999986 -.0016873  .0000224
T  103  9 .6153883E+08   3601150E+02  .2996E+06  .3747E+06   .9999950  .0003912  .0031242
T  104  9 .6131624E+08   3601150E+02 -.2254E+07 -.4295E+07   .9999233 -.0052571 -.0112108
T  105  9 .6127312E+08   3601150E+02 -.2370E+07  .1945E+07   .9999568 -.0048031  .0079525
T  106  9 .6142768E+08   3601150E+02 -.2021E+06  .4933E+06   .9999992 -.0003943  .0012396
T  107  9 .6150820E+08   3601150E+02 -.8740E+06  .4592E+07   .9999259 -.0013538  .0121011
T  108  9 .6161183E+08   3601150E+02 -.1911E+05  .8520E+06   .9999884  .0014969  .0045707
T  109  9 .6118216E+08   3601150E+02  .1264E+07  .4928E+05   .9999986  .0013412  .0010414
T  110  9 .6126991E+08   3601150E+02  .5083E+06 -.1026E+07   .9999905  .0019234 -.0039043
T  111  9 .6143328E+08   3601150E+02 -.4509E+06  .1434E+07   .9999937 -.0007824  .0034587
T  112  9 .6147657E+08   3601150E+02 -.7568E+05  .7727E+06   .9998878 -.0148988  .0015755
T  113  9 .6134027E+08   3601150E+02 -.3085E+07  .1871E+07   .9999278 -.0095140  .0073384
T  114  9 .6126951E+08   3601150E+02  .2713E+07 -.5462E+05   .9998621  .0165994  .0005033
T  115  9 .6118470E+08   3601150E+02 -.2081E+06  .1278E+07   .9999912 -.0000811  .0041997
T  116  9 .6123689E+08   3601150E+02  .1675E+07  .5234E+06   .9999157  .0108730  .0070914
T  117  9 .6138849E+08   3601150E+02 -.2488E+07  .8893E+06   .9999737 -.0057530  .0044107
T  118  9 .6128986E+08   3601150E+02  .2194E+06 -.1981E+07   .9999781 -.0015598 -.0064318
T  119  9 .6124157E+08   3601150E+02 -.5458E+06 -.3639E+05   .9999964 -.0020444 -.0017626
T  120  9 .6111779E+08   3601150E+02 -.6854E+06 -.9277E+06   .9999800 -.0028529 -.0056373
T  121  9 .6123444E+08   3601150E+02 -.2005E+07  .2153E+07   .9999609 -.0058382  .0066482
T  122  9 .6128893E+08   3601150E+02 -.2094E+07 -.9051E+06   .9999802 -.0047045 -.0041854
T  123  9 .6143702E+08   3601150E+02  .1894E+07  .1177E+05   .9999723  .0043611 -.0060292
T  124  9 .6117174E+08   3601150E+02  .3210E+07 -.2805E+07   .9998676  .0116823 -.0113306
T  125  9 .6117098E+08   3601150E+02  .1487E+07  .1203E+07   .9999800  .0057065  .0027193
T  126  9 .6129521E+08   3601150E+02 -.6863E+06 -.1466E+06   .9999981 -.0019591 -.0001756
T  127  9 .6124823E+08   3601150E+02  .1337E+07  .2693E+07   .9999545  .0063240  .0071464
T  128  9 .6130937E+08   3601150E+02  .1334E+06  .2471E+06   .9999998  .0000428  .0006736
T  129  9 .6107737E+08   3601150E+02 -.1457E+06  .6608E+06   .9999990 -.0010665 -.0008874
T  130  9 .6135932E+08   3601150E+02 -.3403E+07  .1639E+07   .9999057 -.0137254  .0004176
T  131  9 .6134051E+08   3601150E+02 -.8295E+06 -.2109E+06   .9999998 -.0000684 -.0006696
T  132  9 .6118253E+08   3601150E+02 -.3066E+06  .7448E+06   .9999941 -.0029639 -.0017447
T  133  9 .6122462E+08   3601150E+02 -.8131E+06  .1766E+07   .9999595 -.0040762  .0080286
T  134  9 .6141482E+08   3601150E+02 -.6270E+06 -.1110E+07   .9999952 -.0010880 -.0029172
