 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 16, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_H2-iC4H10_95-5_700mbar.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.3800E-04 g/cm3 = 4.4821E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  18.00 MeV   6.046E-04  4.399E-07   16.24 m    602.46 mm   267.90 mm  
  20.00 MeV   5.537E-04  3.995E-07   19.70 m    778.96 mm   323.70 mm  
  22.50 MeV   5.019E-04  3.586E-07   24.44 m      1.03 m    399.99 mm  
  25.00 MeV   4.597E-04  3.256E-07   29.64 m      1.27 m    483.37 mm  
  27.50 MeV   4.247E-04  2.984E-07   35.29 m      1.51 m    573.67 mm  
  30.00 MeV   3.952E-04  2.755E-07   41.39 m      1.74 m    670.73 mm  
  32.50 MeV   3.698E-04  2.559E-07   47.92 m      1.98 m    774.40 mm  
  35.00 MeV   3.479E-04  2.391E-07   54.89 m      2.21 m    884.57 mm  
  37.50 MeV   3.287E-04  2.244E-07   62.27 m      2.46 m      1.00 m   
  40.00 MeV   3.117E-04  2.115E-07   70.08 m      2.70 m      1.12 m   
  45.00 MeV   2.831E-04  1.897E-07   86.89 m      3.61 m      1.39 m   
  50.00 MeV   2.599E-04  1.722E-07  105.31 m      4.47 m      1.68 m   
  55.00 MeV   2.407E-04  1.577E-07  125.29 m      5.30 m      1.99 m   
  60.00 MeV   2.245E-04  1.455E-07  146.79 m      6.13 m      2.32 m   
  65.00 MeV   2.106E-04  1.352E-07  169.77 m      6.95 m      2.67 m   
  70.00 MeV   1.986E-04  1.262E-07  194.20 m      7.78 m      3.05 m   
  80.00 MeV   1.789E-04  1.116E-07  247.23 m     10.84 m      3.86 m   
  90.00 MeV   1.633E-04  1.001E-07  305.70 m     13.67 m      4.74 m   
 100.00 MeV   1.507E-04  9.078E-08  369.40 m     16.41 m      5.70 m   
 110.00 MeV   1.403E-04  8.311E-08  438.12 m     19.12 m      6.73 m   
 120.00 MeV   1.316E-04  7.667E-08  511.67 m     21.81 m      7.82 m   
 130.00 MeV   1.241E-04  7.119E-08  589.88 m     24.51 m      8.97 m   
 140.00 MeV   1.177E-04  6.646E-08  672.58 m     27.21 m     10.19 m   
 150.00 MeV   1.121E-04  6.234E-08  759.61 m     29.92 m     11.45 m   
 160.00 MeV   1.071E-04  5.872E-08  850.82 m     32.64 m     12.77 m   
 170.00 MeV   1.027E-04  5.551E-08  946.07 m     35.38 m     14.15 m   
 180.00 MeV   9.884E-05  5.264E-08    1.05 km    38.13 m     15.56 m   
 200.00 MeV   9.217E-05  4.773E-08    1.25 km    48.41 m     18.54 m   
 225.00 MeV   8.546E-05  4.278E-08    1.54 km    62.83 m     22.49 m   
 250.00 MeV   8.006E-05  3.879E-08    1.84 km    76.14 m     26.67 m   
 275.00 MeV   7.564E-05  3.549E-08    2.16 km    88.82 m     31.06 m   
 300.00 MeV   7.194E-05  3.273E-08    2.50 km   101.08 m     35.62 m   
 325.00 MeV   6.882E-05  3.038E-08    2.85 km   113.05 m     40.35 m   
 350.00 MeV   6.614E-05  2.835E-08    3.22 km   124.78 m     45.23 m   
 375.00 MeV   6.383E-05  2.659E-08    3.61 km   136.31 m     50.23 m   
 400.00 MeV   6.181E-05  2.504E-08    4.01 km   147.67 m     55.34 m   
 450.00 MeV   5.846E-05  2.243E-08    4.84 km   189.13 m     65.85 m   
 500.00 MeV   5.581E-05  2.033E-08    5.71 km   226.38 m     76.68 m   
 550.00 MeV   5.366E-05  1.860E-08    6.63 km   260.99 m     87.73 m   
 600.00 MeV   5.190E-05  1.715E-08    7.57 km   293.72 m     98.96 m   
 650.00 MeV   5.044E-05  1.591E-08    8.55 km   324.95 m    110.32 m   
 700.00 MeV   4.920E-05  1.485E-08    9.55 km   354.95 m    121.76 m   
 800.00 MeV   4.726E-05  1.310E-08   11.63 km   461.02 m    144.76 m   
 900.00 MeV   4.582E-05  1.174E-08   13.77 km   552.75 m    167.77 m   
   1.00 GeV   4.472E-05  1.063E-08   15.98 km   635.48 m    190.63 m   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  7.2466E+01                keV / (ug/cm2) 
  7.2466E+01                MeV / (mg/cm2) 
  7.2466E+04                keV / (mg/cm2) 
  2.2311E+02                 eV / (1E15 atoms/cm2)
  8.0970E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
