 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\20Mg_mylar.txt

 Ion = Magnesium [12] , Mass = 20 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  55.00 MeV   1.683E+03  1.287E+00   28.48 um     9093 A      4674 A   
  60.00 MeV   1.615E+03  1.193E+00   31.51 um     1.01 um     4828 A   
  65.00 MeV   1.554E+03  1.112E+00   34.66 um     1.10 um     4988 A   
  70.00 MeV   1.497E+03  1.042E+00   37.94 um     1.20 um     5157 A   
  80.00 MeV   1.398E+03  9.268E-01   44.85 um     1.55 um     5515 A   
  90.00 MeV   1.312E+03  8.356E-01   52.23 um     1.87 um     5903 A   
 100.00 MeV   1.238E+03  7.614E-01   60.07 um     2.18 um     6320 A   
 110.00 MeV   1.172E+03  6.999E-01   68.37 um     2.48 um     6766 A   
 120.00 MeV   1.113E+03  6.481E-01   77.13 um     2.77 um     7241 A   
 130.00 MeV   1.061E+03  6.037E-01   86.32 um     3.06 um     7743 A   
 140.00 MeV   1.013E+03  5.653E-01   95.97 um     3.36 um     8272 A   
 150.00 MeV   9.702E+02  5.318E-01  106.05 um     3.65 um     8828 A   
 160.00 MeV   9.309E+02  5.021E-01  116.57 um     3.95 um     9410 A   
 170.00 MeV   8.948E+02  4.758E-01  127.52 um     4.24 um     1.00 um  
 180.00 MeV   8.615E+02  4.522E-01  138.91 um     4.54 um     1.06 um  
 200.00 MeV   8.023E+02  4.117E-01  162.96 um     5.68 um     1.20 um  
 225.00 MeV   7.393E+02  3.706E-01  195.42 um     7.31 um     1.38 um  
 250.00 MeV   6.860E+02  3.373E-01  230.52 um     8.85 um     1.57 um  
 275.00 MeV   6.402E+02  3.097E-01  268.24 um    10.34 um     1.78 um  
 300.00 MeV   6.005E+02  2.865E-01  308.55 um    11.82 um     2.01 um  
 325.00 MeV   5.656E+02  2.666E-01  351.44 um    13.29 um     2.24 um  
 350.00 MeV   5.348E+02  2.495E-01  396.89 um    14.77 um     2.49 um  
 375.00 MeV   5.074E+02  2.345E-01  444.87 um    16.27 um     2.75 um  
 400.00 MeV   4.828E+02  2.213E-01  495.37 um    17.78 um     3.03 um  
 450.00 MeV   4.406E+02  1.990E-01  603.78 um    23.50 um     3.62 um  
 500.00 MeV   4.054E+02  1.810E-01  722.09 um    28.87 um     4.26 um  
 550.00 MeV   3.757E+02  1.661E-01  850.19 um    34.11 um     4.95 um  
 600.00 MeV   3.501E+02  1.535E-01  988.05 um    39.31 um     5.69 um  
 650.00 MeV   3.283E+02  1.428E-01    1.14 mm    44.53 um     6.48 um  
 700.00 MeV   3.093E+02  1.336E-01    1.29 mm    49.78 um     7.31 um  
 800.00 MeV   2.778E+02  1.183E-01    1.63 mm    69.39 um     9.12 um  
 900.00 MeV   2.528E+02  1.064E-01    2.01 mm    87.61 um    11.11 um  
   1.00 GeV   2.324E+02  9.666E-02    2.42 mm   105.33 um    13.28 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  7.1584E-03                keV / (ug/cm2) 
  7.1584E-03                MeV / (mg/cm2) 
  7.1584E+00                keV / (mg/cm2) 
  1.0383E-01                 eV / (1E15 atoms/cm2)
  9.1336E-04                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
