 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 19, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_H2-iC4H10_95-5_760mbar.txt.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.5030E-04 g/cm3 = 4.8816E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    019.23    010.45   
      C      6    007.69    049.82   
      H      1    073.08    039.73   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 550.00 MeV   5.845E-05  2.026E-08    6.08 km   239.63 m     80.55 m   
 600.00 MeV   5.653E-05  1.867E-08    6.95 km   269.68 m     90.86 m   
 650.00 MeV   5.493E-05  1.733E-08    7.85 km   298.36 m    101.29 m   
 700.00 MeV   5.359E-05  1.617E-08    8.77 km   325.90 m    111.79 m   
 800.00 MeV   5.147E-05  1.427E-08   10.67 km   423.29 m    132.91 m   
 900.00 MeV   4.990E-05  1.278E-08   12.65 km   507.51 m    154.04 m   
   1.00 GeV   4.871E-05  1.158E-08   14.67 km   583.48 m    175.03 m   
   1.10 GeV   4.779E-05  1.059E-08   16.75 km   653.47 m    195.81 m   
   1.20 GeV   4.707E-05  9.762E-09   18.85 km   718.78 m    216.31 m   
   1.30 GeV   4.651E-05  9.057E-09   20.99 km   780.23 m    236.49 m   
   1.40 GeV   4.606E-05  8.449E-09   23.15 km   838.41 m    256.33 m   
   1.50 GeV   4.571E-05  7.919E-09   25.33 km   893.75 m    275.82 m   
   1.60 GeV   4.543E-05  7.454E-09   27.52 km   946.57 m    294.94 m   
   1.70 GeV   4.521E-05  7.042E-09   29.73 km   997.14 m    313.70 m   
   1.80 GeV   4.504E-05  6.674E-09   31.94 km     1.05 km   332.10 m   
   2.00 GeV   4.482E-05  6.045E-09   36.39 km     1.22 km   367.83 m   
   2.25 GeV   4.468E-05  5.412E-09   41.98 km     1.46 km   410.60 m   
   2.50 GeV   4.466E-05  4.902E-09   47.57 km     1.66 km   451.37 m   
   2.75 GeV   4.471E-05  4.482E-09   53.17 km     1.84 km   490.30 m   
   3.00 GeV   4.482E-05  4.129E-09   58.75 km     2.00 km   527.53 m   
   3.25 GeV   4.495E-05  3.830E-09   64.32 km     2.15 km   563.21 m   
   3.50 GeV   4.511E-05  3.572E-09   69.87 km     2.29 km   597.45 m   
   3.75 GeV   4.529E-05  3.347E-09   75.40 km     2.42 km   630.37 m   
   4.00 GeV   4.548E-05  3.150E-09   80.90 km     2.54 km   662.08 m   
   4.50 GeV   4.586E-05  2.819E-09   91.85 km     2.98 km   722.22 m   
   5.00 GeV   4.626E-05  2.553E-09  102.70 km     3.35 km   778.49 m   
   5.50 GeV   4.665E-05  2.333E-09  113.46 km     3.68 km   831.41 m   
   6.00 GeV   4.704E-05  2.150E-09  124.13 km     3.98 km   881.39 m   
   6.50 GeV   4.741E-05  1.993E-09  134.72 km     4.25 km   928.77 m   
   7.00 GeV   4.777E-05  1.859E-09  145.22 km     4.51 km   973.85 m   
   8.00 GeV   4.846E-05  1.639E-09  166.00 km     5.38 km     1.06 km  
   9.00 GeV   4.909E-05  1.466E-09  186.50 km     6.11 km     1.14 km  
  10.00 GeV   4.968E-05  1.327E-09  206.74 km     6.75 km     1.21 km  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  6.6536E+01                keV / (ug/cm2) 
  6.6536E+01                MeV / (mg/cm2) 
  6.6536E+04                keV / (mg/cm2) 
  2.0485E+02                 eV / (1E15 atoms/cm2)
  7.4344E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
