 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17O_iC4H10_6mbar.txt

 Ion = Oxygen [8] , Mass = 17 amu

 Target Density =  1.4000E-05 g/cm3 = 2.0308E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 275.00 MeV   3.160E-03  1.674E-06   49.89 m      2.03 m    265.46 mm  
 300.00 MeV   2.941E-03  1.548E-06   58.09 m      2.34 m    306.18 mm  
 325.00 MeV   2.751E-03  1.440E-06   66.88 m      2.65 m    349.67 mm  
 350.00 MeV   2.586E-03  1.346E-06   76.25 m      2.96 m    395.91 mm  
 375.00 MeV   2.440E-03  1.265E-06   86.20 m      3.28 m    444.88 mm  
 400.00 MeV   2.310E-03  1.193E-06   96.73 m      3.61 m    496.58 mm  
 450.00 MeV   2.087E-03  1.073E-06  119.50 m      4.84 m    608.20 mm  
 500.00 MeV   1.901E-03  9.748E-07  144.60 m      6.01 m    730.81 mm  
 550.00 MeV   1.756E-03  8.940E-07  171.96 m      7.15 m    864.21 mm  
 600.00 MeV   1.635E-03  8.261E-07  201.47 m      8.28 m      1.01 m   
 650.00 MeV   1.532E-03  7.681E-07  233.07 m      9.41 m      1.16 m   
 700.00 MeV   1.442E-03  7.180E-07  266.71 m     10.55 m      1.32 m   
 800.00 MeV   1.294E-03  6.358E-07  339.91 m     14.79 m      1.68 m   
 900.00 MeV   1.177E-03  5.711E-07  420.95 m     18.72 m      2.07 m   
   1.00 GeV   1.082E-03  5.188E-07  509.57 m     22.54 m      2.49 m   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  7.1431E+02                keV / (ug/cm2) 
  7.1431E+02                MeV / (mg/cm2) 
  7.1431E+05                keV / (mg/cm2) 
  4.9243E+03                 eV / (1E15 atoms/cm2)
  8.9807E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
