 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17F_CF4_70mbar.txt

 Ion = Fluorine [9] , Mass = 17 amu

 Target Density =  2.5000E-04 g/cm3 = 8.5537E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  17.00 MeV   2.259E-01  2.574E-04   85.03 mm     2.96 mm     3.26 mm  
  18.00 MeV   2.230E-01  2.451E-04   89.48 mm     3.03 mm     3.29 mm  
  20.00 MeV   2.174E-01  2.239E-04   98.55 mm     3.31 mm     3.36 mm  
  22.50 MeV   2.109E-01  2.023E-04  110.21 mm     3.72 mm     3.45 mm  
  25.00 MeV   2.048E-01  1.847E-04  122.22 mm     4.10 mm     3.54 mm  
  27.50 MeV   1.990E-01  1.701E-04  134.59 mm     4.48 mm     3.62 mm  
  30.00 MeV   1.935E-01  1.577E-04  147.32 mm     4.84 mm     3.71 mm  
  32.50 MeV   1.883E-01  1.471E-04  160.40 mm     5.20 mm     3.80 mm  
  35.00 MeV   1.839E-01  1.379E-04  173.83 mm     5.55 mm     3.90 mm  
  37.50 MeV   1.797E-01  1.299E-04  187.56 mm     5.89 mm     3.99 mm  
  40.00 MeV   1.748E-01  1.227E-04  201.66 mm     6.24 mm     4.09 mm  
  45.00 MeV   1.664E-01  1.107E-04  230.96 mm     7.51 mm     4.29 mm  
  50.00 MeV   1.588E-01  1.010E-04  261.70 mm     8.71 mm     4.50 mm  
  55.00 MeV   1.518E-01  9.287E-05  293.87 mm     9.85 mm     4.73 mm  
  60.00 MeV   1.454E-01  8.603E-05  327.51 mm    10.96 mm     4.96 mm  
  65.00 MeV   1.393E-01  8.018E-05  362.63 mm    12.06 mm     5.21 mm  
  70.00 MeV   1.337E-01  7.511E-05  399.25 mm    13.15 mm     5.46 mm  
  80.00 MeV   1.236E-01  6.676E-05  477.00 mm    17.19 mm     6.01 mm  
  90.00 MeV   1.149E-01  6.015E-05  560.87 mm    20.93 mm     6.60 mm  
 100.00 MeV   1.073E-01  5.479E-05  650.91 mm    24.54 mm     7.24 mm  
 110.00 MeV   1.006E-01  5.035E-05  747.15 mm    28.11 mm     7.93 mm  
 120.00 MeV   9.468E-02  4.660E-05  849.58 mm    31.67 mm     8.66 mm  
 130.00 MeV   8.943E-02  4.340E-05  958.23 mm    35.25 mm     9.44 mm  
 140.00 MeV   8.473E-02  4.063E-05    1.07 m     38.87 mm    10.26 mm  
 150.00 MeV   8.050E-02  3.821E-05    1.19 m     42.53 mm    11.13 mm  
 160.00 MeV   7.668E-02  3.607E-05    1.32 m     46.24 mm    12.05 mm  
 170.00 MeV   7.320E-02  3.417E-05    1.45 m     50.01 mm    13.01 mm  
 180.00 MeV   7.003E-02  3.247E-05    1.59 m     53.83 mm    14.01 mm  
 200.00 MeV   6.444E-02  2.955E-05    1.89 m     68.46 mm    16.15 mm  
 225.00 MeV   5.861E-02  2.659E-05    2.30 m     89.58 mm    19.07 mm  
 250.00 MeV   5.375E-02  2.419E-05    2.74 m    109.68 mm    22.27 mm  
 275.00 MeV   4.965E-02  2.220E-05    3.23 m    129.45 mm    25.74 mm  
 300.00 MeV   4.617E-02  2.053E-05    3.75 m    149.22 mm    29.48 mm  
 325.00 MeV   4.319E-02  1.911E-05    4.31 m    169.12 mm    33.48 mm  
 350.00 MeV   4.063E-02  1.787E-05    4.91 m    189.22 mm    37.74 mm  
 375.00 MeV   3.843E-02  1.680E-05    5.54 m    209.53 mm    42.25 mm  
 400.00 MeV   3.655E-02  1.585E-05    6.21 m    230.02 mm    47.00 mm  
 450.00 MeV   3.359E-02  1.425E-05    7.63 m    306.48 mm    57.17 mm  
 500.00 MeV   3.154E-02  1.295E-05    9.17 m    376.11 mm    68.08 mm  
 550.00 MeV   2.938E-02  1.188E-05   10.81 m    442.54 mm    79.66 mm  
 600.00 MeV   2.740E-02  1.098E-05   12.57 m    508.40 mm    92.00 mm  
 650.00 MeV   2.569E-02  1.021E-05   14.46 m    574.57 mm   105.10 mm  
 700.00 MeV   2.421E-02  9.549E-06   16.46 m    641.31 mm   118.97 mm  
 800.00 MeV   2.176E-02  8.458E-06   20.82 m    890.65 mm   148.94 mm  
 900.00 MeV   1.981E-02  7.599E-06   25.64 m      1.12 m    181.81 mm  
   1.00 GeV   1.823E-02  6.904E-06   30.90 m      1.35 m    217.50 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  4.0001E+01                keV / (ug/cm2) 
  4.0001E+01                MeV / (mg/cm2) 
  4.0001E+04                keV / (mg/cm2) 
  1.1691E+03                 eV / (1E15 atoms/cm2)
  1.0818E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
