 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\17F_mylar.txt

 Ion = Fluorine [9] , Mass = 17 amu

 Target Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  35.00 MeV   1.219E+03  9.640E-01   24.95 um     7770 A      4037 A   
  37.50 MeV   1.195E+03  9.076E-01   27.02 um     8317 A      4165 A   
  40.00 MeV   1.165E+03  8.578E-01   29.14 um     8855 A      4296 A   
  45.00 MeV   1.106E+03  7.737E-01   33.54 um     1.08 um     4568 A   
  50.00 MeV   1.054E+03  7.053E-01   38.17 um     1.27 um     4853 A   
  55.00 MeV   1.006E+03  6.486E-01   43.02 um     1.45 um     5151 A   
  60.00 MeV   9.636E+02  6.008E-01   48.09 um     1.62 um     5463 A   
  65.00 MeV   9.243E+02  5.598E-01   53.39 um     1.78 um     5788 A   
  70.00 MeV   8.881E+02  5.244E-01   58.91 um     1.95 um     6126 A   
  80.00 MeV   8.231E+02  4.659E-01   70.60 um     2.56 um     6842 A   
  90.00 MeV   7.665E+02  4.198E-01   83.19 um     3.12 um     7611 A   
 100.00 MeV   7.165E+02  3.823E-01   96.68 um     3.66 um     8433 A   
 110.00 MeV   6.721E+02  3.512E-01  111.08 um     4.20 um     9309 A   
 120.00 MeV   6.324E+02  3.250E-01  126.42 um     4.73 um     1.02 um  
 130.00 MeV   5.967E+02  3.027E-01  142.69 um     5.26 um     1.12 um  
 140.00 MeV   5.646E+02  2.833E-01  159.92 um     5.81 um     1.23 um  
 150.00 MeV   5.355E+02  2.664E-01  178.10 um     6.36 um     1.34 um  
 160.00 MeV   5.090E+02  2.515E-01  197.25 um     6.91 um     1.45 um  
 170.00 MeV   4.850E+02  2.382E-01  217.37 um     7.48 um     1.57 um  
 180.00 MeV   4.631E+02  2.263E-01  238.47 um     8.06 um     1.70 um  
 200.00 MeV   4.246E+02  2.059E-01  283.57 um    10.29 um     1.97 um  
 225.00 MeV   3.849E+02  1.853E-01  345.41 um    13.52 um     2.34 um  
 250.00 MeV   3.524E+02  1.685E-01  413.29 um    16.60 um     2.74 um  
 275.00 MeV   3.255E+02  1.547E-01  487.10 um    19.63 um     3.18 um  
 300.00 MeV   3.030E+02  1.430E-01  566.69 um    22.65 um     3.65 um  
 325.00 MeV   2.840E+02  1.331E-01  651.89 um    25.67 um     4.16 um  
 350.00 MeV   2.678E+02  1.245E-01  742.52 um    28.72 um     4.70 um  
 375.00 MeV   2.537E+02  1.170E-01  838.42 um    31.78 um     5.26 um  
 400.00 MeV   2.414E+02  1.103E-01  939.43 um    34.87 um     5.86 um  
 450.00 MeV   2.205E+02  9.919E-02    1.16 mm    46.47 um     7.14 um  
 500.00 MeV   2.031E+02  9.017E-02    1.39 mm    57.29 um     8.53 um  
 550.00 MeV   1.880E+02  8.271E-02    1.65 mm    67.81 um    10.02 um  
 600.00 MeV   1.752E+02  7.643E-02    1.92 mm    78.26 um    11.62 um  
 650.00 MeV   1.642E+02  7.108E-02    2.22 mm    88.73 um    13.33 um  
 700.00 MeV   1.546E+02  6.645E-02    2.53 mm    99.27 um    15.14 um  
 800.00 MeV   1.388E+02  5.885E-02    3.21 mm   138.61 um    19.07 um  
 900.00 MeV   1.263E+02  5.287E-02    3.97 mm   175.12 um    23.39 um  
   1.00 GeV   1.161E+02  4.803E-02    4.80 mm   210.63 um    28.08 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  7.1584E-03                keV / (ug/cm2) 
  7.1584E-03                MeV / (mg/cm2) 
  7.1584E+00                keV / (mg/cm2) 
  1.0383E-01                 eV / (1E15 atoms/cm2)
  1.2074E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
