 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\20Mg_iC4H10_6mbar.txt

 Ion = Magnesium [12] , Mass = 20 amu

 Target Density =  1.4000E-05 g/cm3 = 2.0308E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  90.00 MeV   1.611E-02  1.127E-05    3.98 m    147.83 mm    32.89 mm  
 100.00 MeV   1.514E-02  1.027E-05    4.62 m    173.49 mm    35.80 mm  
 110.00 MeV   1.430E-02  9.442E-06    5.30 m    198.47 mm    38.93 mm  
 120.00 MeV   1.356E-02  8.742E-06    6.01 m    223.08 mm    42.27 mm  
 130.00 MeV   1.290E-02  8.144E-06    6.77 m    247.51 mm    45.80 mm  
 140.00 MeV   1.231E-02  7.626E-06    7.56 m    271.90 mm    49.52 mm  
 150.00 MeV   1.178E-02  7.173E-06    8.39 m    296.31 mm    53.43 mm  
 160.00 MeV   1.130E-02  6.773E-06    9.26 m    320.82 mm    57.51 mm  
 170.00 MeV   1.085E-02  6.417E-06   10.16 m    345.47 mm    61.77 mm  
 180.00 MeV   1.044E-02  6.099E-06   11.10 m    370.30 mm    66.19 mm  
 200.00 MeV   9.713E-03  5.552E-06   13.09 m    465.08 mm    75.54 mm  
 225.00 MeV   8.933E-03  4.998E-06   15.77 m    600.75 mm    88.14 mm  
 250.00 MeV   8.268E-03  4.549E-06   18.68 m    728.56 mm   101.72 mm  
 275.00 MeV   7.694E-03  4.177E-06   21.81 m    853.29 mm   116.30 mm  
 300.00 MeV   7.193E-03  3.864E-06   25.17 m    977.19 mm   131.85 mm  
 325.00 MeV   6.754E-03  3.596E-06   28.76 m      1.10 m    148.38 mm  
 350.00 MeV   6.366E-03  3.365E-06   32.57 m      1.23 m    165.88 mm  
 375.00 MeV   6.022E-03  3.162E-06   36.61 m      1.35 m    184.36 mm  
 400.00 MeV   5.715E-03  2.984E-06   40.87 m      1.48 m    203.80 mm  
 450.00 MeV   5.194E-03  2.684E-06   50.04 m      1.97 m    245.57 mm  
 500.00 MeV   4.773E-03  2.441E-06   60.09 m      2.43 m    291.07 mm  
 550.00 MeV   4.428E-03  2.240E-06   70.96 m      2.88 m    340.16 mm  
 600.00 MeV   4.144E-03  2.070E-06   82.63 m      3.32 m    392.66 mm  
 650.00 MeV   3.884E-03  1.926E-06   95.09 m      3.76 m    448.50 mm  
 700.00 MeV   3.657E-03  1.801E-06  108.36 m      4.20 m    507.72 mm  
 800.00 MeV   3.282E-03  1.596E-06  137.22 m      5.86 m    636.13 mm  
