============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(76.5 MeV) ==> Mylar_IC+Carbon Tetraflu( 36.0 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  297  8 .6444524E+08   3601150E+02  .1585E+06  .2438E+06   .9999989  .0007201  .0012984
T  298  8 .6467337E+08   3601150E+02 -.6877E+06 -.1577E+06   .9999974 -.0017375  .0014978
T  299  8 .6454100E+08   3601150E+02  .1781E+07 -.9134E+06   .9999678  .0072664 -.0034055
T  300  8 .6457022E+08   3601150E+02 -.2522E+06  .5594E+06   .9999890 -.0009402  .0045866
T  301  8 .6458273E+08   3601150E+02  .2238E+06  .8743E+06   .9999973  .0013384  .0019195
T  302  8 .6453167E+08   3601150E+02 -.6148E+06 -.3482E+05   .9999998  .0004173 -.0003936
T  303  8 .6473436E+08   3601150E+02 -.5557E+06 -.2264E+07   .9999804 -.0020690 -.0059150
T  304  8 .6464667E+08   3601150E+02  .1778E+07  .7840E+06   .9999875  .0028592  .0040924
T  305  8 .6469224E+08   3601150E+02 -.9990E+06 -.4030E+06   .9999895 -.0044270 -.0011735
T  306  8 .6440464E+08   3601150E+02 -.1060E+06  .1109E+07   .9999922 -.0004999  .0039057
T  307  8 .6441000E+08   3601150E+02  .2133E+07  .7290E+06   .9999776  .0061542  .0026389
T  308  8 .6475168E+08   3601150E+02 -.1364E+07  .1559E+07   .9999697  .0001864  .0077859
T  309  8 .6440871E+08   3601150E+02  .2915E+07 -.2578E+06   .9999705  .0076837 -.0000405
T  310  8 .6440107E+08   3601150E+02 -.1191E+07  .4328E+06   .9999951 -.0029460  .0010518
T  311  8 .6451911E+08   3601150E+02  .1022E+07 -.1019E+07   .9999964  .0019134 -.0018952
T  312  8 .6436933E+08   3601150E+02 -.4482E+05 -.2170E+07   .9999849  .0000313 -.0054939
T  313  8 .6453139E+08   3601150E+02 -.8835E+06 -.1338E+07   .9999779 -.0056870 -.0034545
