 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 29, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\20Na_CF4_70mbar.txt.txt

 Ion = Sodium [11] , Mass = 20 amu

 Target Density =  2.5000E-04 g/cm3 = 8.5537E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    020.00    013.65   
      F      9    080.00    086.35   
 ====================================
 Bragg Correction = -2.62%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 MeV   3.203E-01  6.771E-04   52.70 mm     2.76 mm     3.57 mm  
  11.00 MeV   3.210E-01  6.251E-04   55.81 mm     2.80 mm     3.61 mm  
  12.00 MeV   3.207E-01  5.810E-04   58.91 mm     2.84 mm     3.64 mm  
  13.00 MeV   3.198E-01  5.431E-04   62.03 mm     2.88 mm     3.66 mm  
  14.00 MeV   3.183E-01  5.101E-04   65.15 mm     2.92 mm     3.69 mm  
  15.00 MeV   3.165E-01  4.811E-04   68.29 mm     2.96 mm     3.72 mm  
  16.00 MeV   3.144E-01  4.555E-04   71.46 mm     3.00 mm     3.74 mm  
  17.00 MeV   3.121E-01  4.326E-04   74.64 mm     3.04 mm     3.77 mm  
  18.00 MeV   3.096E-01  4.121E-04   77.85 mm     3.08 mm     3.79 mm  
  20.00 MeV   3.044E-01  3.767E-04   84.36 mm     3.23 mm     3.84 mm  
  22.50 MeV   2.975E-01  3.405E-04   92.65 mm     3.45 mm     3.89 mm  
  25.00 MeV   2.905E-01  3.111E-04  101.14 mm     3.66 mm     3.95 mm  
  27.50 MeV   2.835E-01  2.866E-04  109.84 mm     3.88 mm     4.00 mm  
  30.00 MeV   2.766E-01  2.659E-04  118.76 mm     4.09 mm     4.06 mm  
  32.50 MeV   2.698E-01  2.482E-04  127.90 mm     4.30 mm     4.11 mm  
  35.00 MeV   2.633E-01  2.328E-04  137.27 mm     4.51 mm     4.17 mm  
  37.50 MeV   2.569E-01  2.193E-04  146.87 mm     4.72 mm     4.22 mm  
  40.00 MeV   2.507E-01  2.073E-04  156.71 mm     4.93 mm     4.28 mm  
  45.00 MeV   2.406E-01  1.872E-04  177.05 mm     5.73 mm     4.40 mm  
